sn,mcg,gvh,lip,chg,aac,alm1,alm2,label
AAT,0.49,0.29,0.48,0.5,0.56,0.24,0.35,cp
ACEA,0.07,0.4,0.48,0.5,0.54,0.35,0.44,cp
ACEK,0.56,0.4,0.48,0.5,0.49,0.37,0.46,cp
ACKA,0.59,0.49,0.48,0.5,0.52,0.45,0.36,cp
ADI,0.23,0.32,0.48,0.5,0.55,0.25,0.35,cp
ALKH,0.67,0.39,0.48,0.5,0.36,0.38,0.46,cp
AMPD,0.29,0.28,0.48,0.5,0.44,0.23,0.34,cp
AMY2,0.21,0.34,0.48,0.5,0.51,0.28,0.39,cp
APT,0.2,0.44,0.48,0.5,0.46,0.51,0.57,cp
ARAC,0.42,0.4,0.48,0.5,0.56,0.18,0.3,cp
ASG1,0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp
BTUR,0.25,0.48,0.48,0.5,0.44,0.17,0.29,cp
CAFA,0.39,0.32,0.48,0.5,0.46,0.24,0.35,cp
CAIB,0.51,0.5,0.48,0.5,0.46,0.32,0.35,cp
CFA,0.22,0.43,0.48,0.5,0.48,0.16,0.28,cp
CHEA,0.25,0.4,0.48,0.5,0.46,0.44,0.52,cp
CHEB,0.34,0.45,0.48,0.5,0.38,0.24,0.35,cp
CHEW,0.44,0.27,0.48,0.5,0.55,0.52,0.58,cp
CHEY,0.23,0.4,0.48,0.5,0.39,0.28,0.38,cp
CHEZ,0.41,0.57,0.48,0.5,0.39,0.21,0.32,cp
CRL,0.4,0.45,0.48,0.5,0.38,0.22,0,cp
CSPA,0.31,0.23,0.48,0.5,0.73,0.05,0.14,cp
CYNR,0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp
CYPB,0.3,0.16,0.48,0.5,0.56,0.11,0.23,cp
CYPC,0.36,0.39,0.48,0.5,0.48,0.22,0.23,cp
CYSB,0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp
CYSE,0.25,0.4,0.48,0.5,0.47,0.33,0.42,cp
DAPD,0.21,0.51,0.48,0.5,0.5,0.32,0.41,cp
DCP,0.43,0.37,0.48,0.5,0.53,0.35,0.44,cp
DDLA,0.43,0.39,0.48,0.5,0.47,0.31,0.41,cp
DDLB,0.53,0.38,0.48,0.5,0.44,0.26,0.36,cp
DEOC,0.34,0.33,0.48,0.5,0.38,0.35,0.44,cp
DLDH,0.56,0.51,0.48,0.5,0.34,0.37,0.46,cp
EFG,0.4,0.29,0.48,0.5,0.42,0.35,0.44,cp
EFTS,0.24,0.35,0.48,0.5,0.31,0.19,0.31,cp
EFTU,0.36,0.54,0.48,0.5,0.41,0.38,0.46,cp
ENO,0.29,0.52,0.48,0.5,0.42,0.29,0.39,cp
FABB,0.65,0.47,0.48,0.5,0.59,0.3,0.4,cp
FES,0.32,0.42,0.48,0.5,0.35,0.28,0.38,cp
G3P1,0.38,0.46,0.48,0.5,0.48,0.22,0.29,cp
G3P2,0.33,0.45,0.48,0.5,0.52,0.32,0.41,cp
G6PI,0.3,0.37,0.48,0.5,0.59,0.41,0.49,cp
GCVA,0.4,0.5,0.48,0.5,0.45,0.39,0.47,cp
GLNA,0.28,0.38,0.48,0.5,0.5,0.33,0.42,cp
GLPD,0.61,0.45,0.48,0.5,0.48,0.35,0.41,cp
GLYA,0.17,0.38,0.48,0.5,0.45,0.42,0.5,cp
GSHR,0.44,0.35,0.48,0.5,0.55,0.55,0.61,cp
GT,0.43,0.4,0.48,0.5,0.39,0.28,0.39,cp
HEM6,0.42,0.35,0.48,0.5,0.58,0.15,0.27,cp
HEMN,0.23,0.33,0.48,0.5,0.43,0.33,0.43,cp
HPRT,0.37,0.52,0.48,0.5,0.42,0.42,0.36,cp
IF1,0.29,0.3,0.48,0.5,0.45,0.03,0.17,cp
IF2,0.22,0.36,0.48,0.5,0.35,0.39,0.47,cp
ILVY,0.23,0.58,0.48,0.5,0.37,0.53,0.59,cp
IPYR,0.47,0.47,0.48,0.5,0.22,0.16,0.26,cp
KAD,0.54,0.47,0.48,0.5,0.28,0.33,0.42,cp
KDSA,0.51,0.37,0.48,0.5,0.35,0.36,0.45,cp
LEU3,0.4,0.35,0.48,0.5,0.45,0.33,0.42,cp
LON,0.44,0.34,0.48,0.5,0.3,0.33,0.43,cp
LPLA,0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp
LYSR,0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp
MALQ,0.52,0.36,0.48,0.5,0.41,0.28,0.38,cp
MALZ,0.36,0.41,0.48,0.5,0.48,0.47,0.54,cp
MASY,0.18,0.3,0.48,0.5,0.46,0.24,0.35,cp
METB,0.47,0.29,0.48,0.5,0.51,0.33,0.43,cp
METC,0.24,0.43,0.48,0.5,0.54,0.52,0.59,cp
METK,0.25,0.37,0.48,0.5,0.41,0.33,0.42,cp
METR,0.52,0.57,0.48,0.5,0.42,0.47,0.54,cp
METX,0.25,0.37,0.48,0.5,0.43,0.26,0.36,cp
MURF,0.35,0.48,0.48,0.5,0.56,0.4,0.48,cp
NADA,0.26,0.26,0.48,0.5,0.34,0.25,0.35,cp
NFRC,0.44,0.51,0.48,0.5,0.47,0.26,0.36,cp
NHAR,0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp
NIRD,0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
OMPR,0.24,0.43,0.48,0.5,0.37,0.28,0.38,cp
OTC1,0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp
OTC2,0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp
PEPE,0.41,0.48,0.48,0.5,0.51,0.44,0.51,cp
PFLA,0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp
PFLB,0.29,0.41,0.48,0.5,0.48,0.38,0.46,cp
PGK,0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp
PHOB,0.41,0.43,0.48,0.5,0.45,0.31,0.41,cp
PHOH,0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp
PMBA,0.34,0.55,0.48,0.5,0.58,0.31,0.41,cp
PNP,0.36,0.56,0.48,0.5,0.43,0.45,0.53,cp
PROB,0.4,0.46,0.48,0.5,0.52,0.49,0.56,cp
PT1A,0.5,0.49,0.48,0.5,0.49,0.46,0.53,cp
PT1,0.52,0.44,0.48,0.5,0.37,0.36,0.42,cp
PTCA,0.5,0.51,0.48,0.5,0.27,0.23,0.34,cp
PTCB,0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp
PTFA,0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp
PTGA,0.4,0.42,0.48,0.5,0.37,0.27,0.27,cp
PTHA,0.41,0.43,0.48,0.5,0.5,0.24,0.25,cp
PTHP,0.3,0.45,0.48,0.5,0.36,0.21,0.32,cp
PTKA,0.31,0.47,0.48,0.5,0.29,0.28,0.39,cp
PTKB,0.64,0.76,0.48,0.5,0.45,0.35,0.38,cp
PTNA,0.35,0.37,0.48,0.5,0.3,0.34,0.43,cp
PTWB,0.57,0.54,0.48,0.5,0.37,0.28,0.33,cp
PTWX,0.65,0.55,0.48,0.5,0.34,0.37,0.28,cp
RHAR,0.51,0.46,0.48,0.5,0.58,0.31,0.41,cp
RHAS,0.38,0.4,0.48,0.5,0.63,0.25,0.35,cp
RIMI,0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp
RIMJ,0.38,0.26,0.48,0.5,0.54,0.16,0.28,cp
RIML,0.33,0.47,0.48,0.5,0.53,0.18,0.29,cp
RNB,0.24,0.34,0.48,0.5,0.38,0.3,0.4,cp
RNC,0.26,0.5,0.48,0.5,0.44,0.32,0.41,cp
RND,0.44,0.49,0.48,0.5,0.39,0.38,0.4,cp
RNE,0.43,0.32,0.48,0.5,0.33,0.45,0.52,cp
SERC,0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp
SLYD,0.47,0.28,0.48,0.5,0.56,0.2,0.25,cp
SOXS,0.32,0.33,0.48,0.5,0.6,0.06,0.2,cp
SYA,0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp
SYC,0.35,0.34,0.48,0.5,0.46,0.3,0.27,cp
SYD,0.38,0.3,0.48,0.5,0.43,0.29,0.39,cp
SYE,0.38,0.44,0.48,0.5,0.43,0.2,0.31,cp
SYFA,0.41,0.51,0.48,0.5,0.58,0.2,0.31,cp
SYFB,0.34,0.42,0.48,0.5,0.41,0.34,0.43,cp
SYGA,0.51,0.49,0.48,0.5,0.53,0.14,0.26,cp
SYGB,0.25,0.51,0.48,0.5,0.37,0.42,0.5,cp
SYH,0.29,0.28,0.48,0.5,0.5,0.42,0.5,cp
SYI,0.25,0.26,0.48,0.5,0.39,0.32,0.42,cp
SYK1,0.24,0.41,0.48,0.5,0.49,0.23,0.34,cp
SYK2,0.17,0.39,0.48,0.5,0.53,0.3,0.39,cp
SYL,0.04,0.31,0.48,0.5,0.41,0.29,0.39,cp
SYM,0.61,0.36,0.48,0.5,0.49,0.35,0.44,cp
SYP,0.34,0.51,0.48,0.5,0.44,0.37,0.46,cp
SYQ,0.28,0.33,0.48,0.5,0.45,0.22,0.33,cp
SYR,0.4,0.46,0.48,0.5,0.42,0.35,0.44,cp
SYS,0.23,0.34,0.48,0.5,0.43,0.26,0.37,cp
SYT,0.37,0.44,0.48,0.5,0.42,0.39,0.47,cp
SYV,0,0.38,0.48,0.5,0.42,0.48,0.55,cp
SYW,0.39,0.31,0.48,0.5,0.38,0.34,0.43,cp
SYY,0.3,0.44,0.48,0.5,0.49,0.22,0.33,cp
THGA,0.27,0.3,0.48,0.5,0.71,0.28,0.39,cp
THIK,0.17,0.52,0.48,0.5,0.49,0.37,0.46,cp
TYRB,0.36,0.42,0.48,0.5,0.53,0.32,0.41,cp
UBIC,0.3,0.37,0.48,0.5,0.43,0.18,0.3,cp
UGPQ,0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp
USPA,0.4,0.41,0.48,0.5,0.55,0.22,0.33,cp
UVRB,0.22,0.34,0.48,0.5,0.42,0.29,0.39,cp
UVRC,0.44,0.35,0.48,0.5,0.44,0.52,0.59,cp
XGPT,0.27,0.42,0.48,0.5,0.37,0.38,0.43,cp
XYLA,0.16,0.43,0.48,0.5,0.54,0.27,0.37,cp
EMRA,0.06,0.61,0.48,0.5,0.49,0.92,0.37,im
AAS,0.44,0.52,0.48,0.5,0.43,0.47,0.54,im
AMPE,0.63,0.47,0.48,0.5,0.51,0.82,0.84,im
ARAE,0.23,0.48,0.48,0.5,0.59,0.88,0.89,im
ARAH,0.34,0.49,0.48,0.5,0.58,0.85,0.8,im
AROP,0.43,0.4,0.48,0.5,0.58,0.75,0.78,im
ATKB,0.46,0.61,0.48,0.5,0.48,0.86,0.87,im
ATP6,0.27,0.35,0.48,0.5,0.51,0.77,0.79,im
BETT,0.52,0.39,0.48,0.5,0.65,0.71,0.73,im
CODB,0.29,0.47,0.48,0.5,0.71,0.65,0.69,im
CYDA,0.55,0.47,0.48,0.5,0.57,0.78,0.8,im
CYOC,0.12,0.67,0.48,0.5,0.74,0.58,0.63,im
CYOD,0.4,0.5,0.48,0.5,0.65,0.82,0.84,im
DCTA,0.73,0.36,0.48,0.5,0.53,0.91,0.92,im
DHG,0.84,0.44,0.48,0.5,0.48,0.71,0.74,im
DHSC,0.48,0.45,0.48,0.5,0.6,0.78,0.8,im
DHSD,0.54,0.49,0.48,0.5,0.4,0.87,0.88,im
DPPC,0.48,0.41,0.48,0.5,0.51,0.9,0.88,im
DSBB,0.5,0.66,0.48,0.5,0.31,0.92,0.92,im
ENVZ,0.72,0.46,0.48,0.5,0.51,0.66,0.7,im
EXBB,0.47,0.55,0.48,0.5,0.58,0.71,0.75,im
FRDC,0.33,0.56,0.48,0.5,0.33,0.78,0.8,im
FRDD,0.64,0.58,0.48,0.5,0.48,0.78,0.73,im
FTSW,0.54,0.57,0.48,0.5,0.56,0.81,0.83,im
GABP,0.47,0.59,0.48,0.5,0.52,0.76,0.79,im
GALP,0.63,0.5,0.48,0.5,0.59,0.85,0.86,im
GLNP,0.49,0.42,0.48,0.5,0.53,0.79,0.81,im
GLPT,0.31,0.5,0.48,0.5,0.57,0.84,0.85,im
GLTP,0.74,0.44,0.48,0.5,0.55,0.88,0.89,im
KDGL,0.33,0.45,0.48,0.5,0.45,0.88,0.89,im
KGTP,0.45,0.4,0.48,0.5,0.61,0.74,0.77,im
LACY,0.71,0.4,0.48,0.5,0.71,0.7,0.74,im
LGT,0.5,0.37,0.48,0.5,0.66,0.64,0.69,im
LLDP,0.66,0.53,0.48,0.5,0.59,0.66,0.66,im
LNT,0.6,0.61,0.48,0.5,0.54,0.67,0.71,im
LSPA,0.83,0.37,0.48,0.5,0.61,0.71,0.74,im
LYSP,0.34,0.51,0.48,0.5,0.67,0.9,0.9,im
MALF,0.63,0.54,0.48,0.5,0.65,0.79,0.81,im
MALG,0.7,0.4,0.48,0.5,0.56,0.86,0.83,im
MCP3,0.6,0.5,1,0.5,0.54,0.77,0.8,im
MSBB,0.16,0.51,0.48,0.5,0.33,0.39,0.48,im
MTR,0.74,0.7,0.48,0.5,0.66,0.65,0.69,im
NANT,0.2,0.46,0.48,0.5,0.57,0.78,0.81,im
NHAA,0.89,0.55,0.48,0.5,0.51,0.72,0.76,im
NHAB,0.7,0.46,0.48,0.5,0.56,0.78,0.73,im
PHEP,0.12,0.43,0.48,0.5,0.63,0.7,0.74,im
PHOR,0.61,0.52,0.48,0.5,0.54,0.67,0.52,im
PNTA,0.33,0.37,0.48,0.5,0.46,0.65,0.69,im
POTE,0.63,0.65,0.48,0.5,0.66,0.67,0.71,im
PROP,0.41,0.51,0.48,0.5,0.53,0.75,0.78,im
PSTA,0.34,0.67,0.48,0.5,0.52,0.76,0.79,im
PSTC,0.58,0.34,0.48,0.5,0.56,0.87,0.81,im
PTAA,0.59,0.56,0.48,0.5,0.55,0.8,0.82,im
PTBA,0.51,0.4,0.48,0.5,0.57,0.62,0.67,im
PTCC,0.5,0.57,0.48,0.5,0.71,0.61,0.66,im
PTDA,0.6,0.46,0.48,0.5,0.45,0.81,0.83,im
PTFB,0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
PTGB,0.58,0.55,0.48,0.5,0.57,0.7,0.74,im
PTHB,0.36,0.47,0.48,0.5,0.51,0.69,0.72,im
PTMA,0.39,0.41,0.48,0.5,0.52,0.72,0.75,im
PTOA,0.35,0.51,0.48,0.5,0.61,0.71,0.74,im
PTTB,0.31,0.44,0.48,0.5,0.5,0.79,0.82,im
RODA,0.61,0.66,0.48,0.5,0.46,0.87,0.88,im
SECE,0.48,0.49,0.48,0.5,0.52,0.77,0.71,im
SECF,0.11,0.5,0.48,0.5,0.58,0.72,0.68,im
SECY,0.31,0.36,0.48,0.5,0.58,0.94,0.94,im
TNAB,0.68,0.51,0.48,0.5,0.71,0.75,0.78,im
XYLE,0.69,0.39,0.48,0.5,0.57,0.76,0.79,im
YCEE,0.52,0.54,0.48,0.5,0.62,0.76,0.79,im
EXBD,0.46,0.59,0.48,0.5,0.36,0.76,0.23,im
FTSL,0.36,0.45,0.48,0.5,0.38,0.79,0.17,im
FTSN,0,0.51,0.48,0.5,0.35,0.67,0.44,im
FTSQ,0.1,0.49,0.48,0.5,0.41,0.67,0.21,im
MOTB,0.3,0.51,0.48,0.5,0.42,0.61,0.34,im
TOLA,0.61,0.47,0.48,0.5,0,0.8,0.32,im
TOLQ,0.63,0.75,0.48,0.5,0.64,0.73,0.66,im
EMRB,0.71,0.52,0.48,0.5,0.64,1,0.99,im
ATKC,0.85,0.53,0.48,0.5,0.53,0.52,0.35,imS
NFRB,0.63,0.49,0.48,0.5,0.54,0.76,0.79,imS
NLPA,0.75,0.55,1,1,0.4,0.47,0.3,imL
CYOA,0.7,0.39,1,0.5,0.51,0.82,0.84,imL
ATKA,0.72,0.42,0.48,0.5,0.65,0.77,0.79,imU
BCR,0.79,0.41,0.48,0.5,0.66,0.81,0.83,imU
CADB,0.83,0.48,0.48,0.5,0.65,0.76,0.79,imU
CAIT,0.69,0.43,0.48,0.5,0.59,0.74,0.77,imU
CPXA,0.79,0.36,0.48,0.5,0.46,0.82,0.7,imU
CRED,0.78,0.33,0.48,0.5,0.57,0.77,0.79,imU
CYDB,0.75,0.37,0.48,0.5,0.64,0.7,0.74,imU
CYOB,0.59,0.29,0.48,0.5,0.64,0.75,0.77,imU
CYOE,0.67,0.37,0.48,0.5,0.54,0.64,0.68,imU
DMSC,0.66,0.48,0.48,0.5,0.54,0.7,0.74,imU
DPPB,0.64,0.46,0.48,0.5,0.48,0.73,0.76,imU
DSBD,0.76,0.71,0.48,0.5,0.5,0.71,0.75,imU
FEPD,0.84,0.49,0.48,0.5,0.55,0.78,0.74,imU
FEPG,0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU
FTSH,0.81,0.44,0.48,0.5,0.42,0.67,0.68,imU
GLTS,0.58,0.6,0.48,0.5,0.59,0.73,0.76,imU
KEFC,0.63,0.42,0.48,0.5,0.48,0.77,0.8,imU
KUP,0.62,0.42,0.48,0.5,0.58,0.79,0.81,imU
MCP1,0.86,0.39,0.48,0.5,0.59,0.89,0.9,imU
MCP2,0.81,0.53,0.48,0.5,0.57,0.87,0.88,imU
MCP4,0.87,0.49,0.48,0.5,0.61,0.76,0.79,imU
MELB,0.47,0.46,0.48,0.5,0.62,0.74,0.77,imU
MOTA,0.76,0.41,0.48,0.5,0.5,0.59,0.62,imU
NUPC,0.7,0.53,0.48,0.5,0.7,0.86,0.87,imU
NUPG,0.64,0.45,0.48,0.5,0.67,0.61,0.66,imU
PNTB,0.81,0.52,0.48,0.5,0.57,0.78,0.8,imU
PTKC,0.73,0.26,0.48,0.5,0.57,0.75,0.78,imU
RHAT,0.49,0.61,1,0.5,0.56,0.71,0.74,imU
SECD,0.88,0.42,0.48,0.5,0.52,0.73,0.75,imU
SECG,0.84,0.54,0.48,0.5,0.75,0.92,0.7,imU
TEHA,0.63,0.51,0.48,0.5,0.64,0.72,0.76,imU
TYRP,0.86,0.55,0.48,0.5,0.63,0.81,0.83,imU
UHPB,0.79,0.54,0.48,0.5,0.5,0.66,0.68,imU
TONB,0.57,0.38,0.48,0.5,0.06,0.49,0.33,imU
LEP,0.78,0.44,0.48,0.5,0.45,0.73,0.68,imU
FADL,0.78,0.68,0.48,0.5,0.83,0.4,0.29,om
FHUA,0.63,0.69,0.48,0.5,0.65,0.41,0.28,om
LAMB,0.67,0.88,0.48,0.5,0.73,0.5,0.25,om
NFRA,0.61,0.75,0.48,0.5,0.51,0.33,0.33,om
NMPC,0.67,0.84,0.48,0.5,0.74,0.54,0.37,om
OMPA,0.74,0.9,0.48,0.5,0.57,0.53,0.29,om
OMPC,0.73,0.84,0.48,0.5,0.86,0.58,0.29,om
OMPF,0.75,0.76,0.48,0.5,0.83,0.57,0.3,om
OMPX,0.77,0.57,0.48,0.5,0.88,0.53,0.2,om
PHOE,0.74,0.78,0.48,0.5,0.75,0.54,0.15,om
TSX,0.68,0.76,0.48,0.5,0.84,0.45,0.27,om
BTUB,0.56,0.68,0.48,0.5,0.77,0.36,0.45,om
CIRA,0.65,0.51,0.48,0.5,0.66,0.54,0.33,om
FECA,0.52,0.81,0.48,0.5,0.72,0.38,0.38,om
FEPA,0.64,0.57,0.48,0.5,0.7,0.33,0.26,om
FHUE,0.6,0.76,1,0.5,0.77,0.59,0.52,om
OMPP,0.69,0.59,0.48,0.5,0.77,0.39,0.21,om
OMPT,0.63,0.49,0.48,0.5,0.79,0.45,0.28,om
TOLC,0.71,0.71,0.48,0.5,0.68,0.43,0.36,om
PA1,0.68,0.63,0.48,0.5,0.73,0.4,0.3,om
MULI,0.77,0.57,1,0.5,0.37,0.54,0.01,omL
NLPB,0.66,0.49,1,0.5,0.54,0.56,0.36,omL
NLPE,0.71,0.46,1,0.5,0.52,0.59,0.3,omL
PAL,0.67,0.55,1,0.5,0.66,0.58,0.16,omL
SLP,0.68,0.49,1,0.5,0.62,0.55,0.28,omL
AGP,0.74,0.49,0.48,0.5,0.42,0.54,0.36,pp
AMY1,0.7,0.61,0.48,0.5,0.56,0.52,0.43,pp
ARAF,0.66,0.86,0.48,0.5,0.34,0.41,0.36,pp
ASG2,0.73,0.78,0.48,0.5,0.58,0.51,0.31,pp
BGLX,0.65,0.57,0.48,0.5,0.47,0.47,0.51,pp
C562,0.72,0.86,0.48,0.5,0.17,0.55,0.21,pp
CN16,0.67,0.7,0.48,0.5,0.46,0.45,0.33,pp
CYPH,0.67,0.81,0.48,0.5,0.54,0.49,0.23,pp
CYSP,0.67,0.61,0.48,0.5,0.51,0.37,0.38,pp
DGAL,0.63,1,0.48,0.5,0.35,0.51,0.49,pp
DPPA,0.57,0.59,0.48,0.5,0.39,0.47,0.33,pp
DSBA,0.71,0.71,0.48,0.5,0.4,0.54,0.39,pp
DSBC,0.66,0.74,0.48,0.5,0.31,0.38,0.43,pp
ECOT,0.67,0.81,0.48,0.5,0.25,0.42,0.25,pp
ECPD,0.64,0.72,0.48,0.5,0.49,0.42,0.19,pp
FECB,0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp
FECR,0.32,0.39,0.48,0.5,0.53,0.28,0.38,pp
FEPB,0.7,0.64,0.48,0.5,0.47,0.51,0.47,pp
FIMC,0.63,0.57,0.48,0.5,0.49,0.7,0.2,pp
GGT,0.74,0.82,0.48,0.5,0.49,0.49,0.41,pp
GLNH,0.63,0.86,0.48,0.5,0.39,0.47,0.34,pp
GLPQ,0.63,0.83,0.48,0.5,0.4,0.39,0.19,pp
HTRA,0.63,0.71,0.48,0.5,0.6,0.4,0.39,pp
LIVJ,0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp
LIVK,0.68,0.78,0.48,0.5,0.43,0.44,0.42,pp
MALE,0.64,0.84,0.48,0.5,0.37,0.45,0.4,pp
MALM,0.74,0.47,0.48,0.5,0.5,0.57,0.42,pp
MEPA,0.75,0.84,0.48,0.5,0.35,0.52,0.33,pp
MODA,0.63,0.65,0.48,0.5,0.39,0.44,0.35,pp
NRFA,0.69,0.67,0.48,0.5,0.3,0.39,0.24,pp
NRFF,0.7,0.71,0.48,0.5,0.42,0.84,0.85,pp
OPPA,0.69,0.8,0.48,0.5,0.46,0.57,0.26,pp
OSMY,0.64,0.66,0.48,0.5,0.41,0.39,0.2,pp
POTD,0.63,0.8,0.48,0.5,0.46,0.31,0.29,pp
POTF,0.66,0.71,0.48,0.5,0.41,0.5,0.35,pp
PPA,0.69,0.59,0.48,0.5,0.46,0.44,0.52,pp
PPB,0.68,0.67,0.48,0.5,0.49,0.4,0.34,pp
PROX,0.64,0.78,0.48,0.5,0.5,0.36,0.38,pp
PSTS,0.62,0.78,0.48,0.5,0.47,0.49,0.54,pp
PTR,0.76,0.73,0.48,0.5,0.44,0.39,0.39,pp
RBSB,0.64,0.81,0.48,0.5,0.37,0.39,0.44,pp
SPEA,0.29,0.39,0.48,0.5,0.52,0.4,0.48,pp
SUBI,0.62,0.83,0.48,0.5,0.46,0.36,0.4,pp
TBPA,0.56,0.54,0.48,0.5,0.43,0.37,0.3,pp
TESA,0.69,0.66,0.48,0.5,0.41,0.5,0.25,pp
TOLB,0.69,0.65,0.48,0.5,0.63,0.48,0.41,pp
TORA,0.43,0.59,0.48,0.5,0.52,0.49,0.56,pp
TREA,0.74,0.56,0.48,0.5,0.47,0.68,0.3,pp
UGPB,0.71,0.57,0.48,0.5,0.48,0.35,0.32,pp
USHA,0.61,0.6,0.48,0.5,0.44,0.39,0.38,pp
XYLF,0.59,0.61,0.48,0.5,0.42,0.42,0.37,pp
YTFQ,0.74,0.74,0.48,0.5,0.31,0.53,0.52,pp
